ORD,Site,TempSite,Region,SitePeriod,SiteNum,NameSort,SiteCode,SiteName,FieldSite Region,,,FieldSite Period,SurveyYearNumber,Supervisor,Map,North,East,Elev,ElevMed,ElevMin,ElevMax,EZcode,EnvironmentalZone,Soil,SoilMed,SoilMin,SoilMax,Erosion,ErosionMed,ErosionMin,ErosionMax,OtherSiteAggreg,SpatialDiff,VisibFactors,ModernUse,ModernSettlement,Rainfall,Area,MoundDomestic,MoundCeremonial,MoundQuestionable,MoundTotal,MoundRecorded,DMoundArea,VagueMounding,Architecture,TerraceConfidence,TerraceExtent,Sherd1,Sherd2,Sherd3,Sherd4,RubbleSite,WallBases,Walls,Rubble,Population,PopMin,PopMax,RevPopMethod,PopMethod,stcode,SiteType,SubPeriod1,SubPeriod2,OccEF,OccMF,OccLF,OccTF,OccCL,OccEC,OccMC,OccLC,OccET,OccLT,OccAZ,OccEA,OccLA,OccTot,Group,Comments,NorthOld,EastOld,NorthGIS,EastGIS,Recnum
636,CU-AZ-36,,CU,AZ,36,CU-AZ-036,0,,,,,,,,,2178.31,470,2353,0,0,0,,Middle Piedmont,Very Shallow,,,,Deep,,,,,,,Agricultural,,770,1,,,,,,,,FALSE,,,L,,,,,,,,10,5,10,,AD,,Small Hamlet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,2178,470,2178310,470000,3174
637,CU-AZ-37,,CU,AZ,37,CU-AZ-037,0,,,,,,,,,2178.24,470,2340,0,0,0,,Lower Piedmont,Very Shallow,,,,Deep,,,,,,,Agricultural,,770,0.5,,,,,,,,FALSE,,,L,,,,,,,,5,3,5,,AD,,Small Hamlet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,2178,470,2178240,470000,3175
638,CU-AZ-38,,CU,AZ,38,CU-AZ-038,0,,,,,,,,,2177.75,470,2338,0,0,0,,Lower Piedmont,Medium-Deep,,,,None,,,,,,,Settlement & Agri,,770,2.4,,,,,,,,FALSE,,,L,,,,,,,,24,12,24,,AD,,Hamlet,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4,,2178,470,2177750,470000,3176
639,CU-AZ-39,,CU,AZ,39,CU-AZ-039,0,,,,,,,,,2177.73,471,2338,0,0,0,,Lower Piedmont,Shallow-Medium,,,,None,,,,,,,Settlement & Agri,,750,2.9,,,,,,,,FALSE,,,LM,,,,,,,,73,29,73,,AD,,Hamlet,0,0,0,0,2,0,0,1,1,1,0,0,0,1,0,0,4,,2178,471,2177730,471000,3177
640,CU-AZ-40,,CU,AZ,40,CU-AZ-040,0,,,,,,,,,2177.4,471,2323,0,0,0,,Lower Piedmont,Shallow-Medium,,,,Slight,,,,,,,Settlement & Agri,,760,2.9,,,,,,,,FALSE,,,L,,,,,,,,29,15,29,,AD,,Hamlet,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,,2177,471,2177400,471000,3178
641,CU-AZ-41,,CU,AZ,41,CU-AZ-041,0,,,,,,,,,2177.68,472,2310,0,0,0,,Lower Piedmont,Shallow,,,,Slight,,,,,,,Agricultural,,720,1.2,,,,,,,,FALSE,,,L,,,,,,,,12,6,12,,AD,,Small Hamlet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,2178,472,2177680,472000,3179
642,CU-AZ-42,,CU,AZ,42,CU-AZ-042,0,,,,,,,,,2178.22,472,2338,0,0,0,,Lower Piedmont,Shallow,,,,Moderate,,,,,,,Agricultural,,710,0.3,,,,,,,,FALSE,,,L,,,,,,,,3,1,3,,AD,,Small Hamlet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,2178,472,2178220,472000,3180
643,CU-AZ-43,,CU,AZ,43,CU-AZ-043,0,,,,,,,,,2178.6,471,2453,0,0,0,,Middle Piedmont,Shallow,,,,None,,,,,,,Grazing,,730,1.9,,,,,,,,FALSE,,,VL,,,,,,,,0,0,0,,AD,,Ceremonial Ctr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,2179,471,2178600,471000,3181
644,CU-AZ-44,,CU,AZ,44,CU-AZ-044,0,,,,,,,,,2178.38,472,2328,0,0,0,,Lower Piedmont,Shallow,,,,Moderate,,,,,,,Agricultural,,710,0.3,,,,,,,,FALSE,,,L,,,,,,,,3,1,3,,AD,,Small Hamlet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,2178,472,2178380,472000,3182
645,CU-AZ-45,,CU,AZ,45,CU-AZ-045,0,,,,,,,,,2178.1,472,2315,0,0,0,,Lower Piedmont,Medium,,,,Slight,,,,,,,Agricultural,,710,2,,,,,,,,FALSE,,,L,,,,,,,,20,10,20,,AD,,Small Hamlet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,2178,472,2178100,472000,3183
