Site,Region,SitePeriod,SiteNum,NameSort,SiteCode,SiteName,FieldSite Region,FieldSite Period,SurveyYearNumber,Supervisor,Map,North,East,Elev,ElevMed,ElevMin,ElevMax,EZcode,EnvironmentalZone,Soil,SoilMed,SoilMin,SoilMax,Erosion,ErosionMed,ErosionMin,ErosionMax,OtherSiteAggreg,SpatialDiff,VisibFactors,ModernUse,ModernSettlement,Rainfall,Area,MoundDomestic,MoundCeremonial,MoundQuestionable,MoundTotal,MoundRecorded,DMoundArea,VagueMounding,Architecture,TerraceConfidence,TerraceExtent,Sherd1,Sherd2,Sherd3,Sherd4,RubbleSite,WallBases,Walls,Rubble,Population,PopMin,PopMax,RevPopMethod,PopMethod,stcode,SiteType,SubPeriod1,SubPeriod2,OccEF,OccMF,OccLF,OccTF,OccCL,OccEC,OccMC,OccLC,OccET,OccLT,OccAZ,OccEA,OccLA,OccTot,Group,Comments,NorthOld,EastOld,NorthGIS,EastGIS,Recnum
CH-LT-62,CH,LT,62,CH-LT-062,901062,,Amecameca,Late Toltec,72-1,Mary Parsons,"Chalco, Mixquic, Juchitepec Ozalid (1:25000)",2123.16,511.25,2255,2255,0,0,9,"Lakeshore Plain, Freshwater, near sloping ground",Medium-deep,,Medium,Deep (100+ cm),Slight,Slight,,,,,,Agricultural,None or Unspecified,705,0.7,0,0,0,0,0,,,FALSE,,Trace,L,,,,,,,Substantial,10,5,10,,AD,2,Small hamlet or temporary camp,,1,0,0,0,0,0,0,,0,0,0,1,1,0,1,3,,2123,511,2123160,511250,491
CH-LT-63,CH,LT,63,CH-LT-063,901063,,Chalco,Late Toltec,72-1,Jeffrey Parsons,"Chalco, Mixquic, Juchitepec Ozalid (1:25000)",2125.31,510.9,2245,2245,0,0,8,"Lakeshore Plain, Freshwater, away from sloping ground",Deep (100+ cm),Deep (100+ cm),,,None,None,,,,,,Agricultural,None or Unspecified,690,0.7,0,0,0,0,0,,,FALSE,,Trace,L,,,,,,,Substantial,10,5,10,,AD,2,Small hamlet or temporary camp,,,0,0,0,0,0,0,,0,1,0,0,0,0,1,3,,2125,511,2125310,510900,492
CH-LT-64,CH,LT,64,CH-LT-064,901064,,Amecameca,Late Toltec,72-1,Mary Parsons,"Chalco, Mixquic, Juchitepec Ozalid (1:25000)",2124.41,510.18,2245,2245,0,0,8,"Lakeshore Plain, Freshwater, away from sloping ground",Deep (100+ cm),Deep (100+ cm),,,None,None,,,,,,Agricultural,None or Unspecified,690,2.8,0,0,0,0,0,,,FALSE,,Trace,L,,,,,,,,30,15,30,,AD,6,Large hamlet,3,,0,0,0,0,2,1,,1,1,0,0,0,0,3,3,,2124,510,2124410,510180,493
CH-LT-65,CH,LT,65,CH-LT-065,901065,,Chalco,Late Toltec,72-1,Jeffrey Parsons,"Chalco, Mixquic, Juchitepec Ozalid (1:25000)",2125.54,509.83,2245,2245,0,0,8,"Lakeshore Plain, Freshwater, away from sloping ground",Deep (100+ cm),Deep (100+ cm),,,None,None,,,,,,Agricultural,None or Unspecified,690,7.6,0,0,0,0,0,,,FALSE,,Trace,L,,,,,,,,100,50,100,,AD,6,Large hamlet,3,,0,0,0,0,2,1,,1,1,0,0,0,0,3,3,,2126,510,2125540,509830,494
CH-LT-66,CH,LT,66,CH-LT-066,901066,,Chalco,Late Toltec,72-1,Jeffrey Parsons,"Chalco, Mixquic, Juchitepec Ozalid (1:25000)",2125.98,509.7,2245,2245,0,0,8,"Lakeshore Plain, Freshwater, away from sloping ground",Deep (100+ cm),Deep (100+ cm),,,None,None,,,,,,Agricultural,None or Unspecified,690,0.9,0,0,0,0,0,,,FALSE,,,L,LM,,,,,,,20,10,20,,AD,2,Small hamlet or temporary camp,,,0,0,0,0,0,0,,0,1,0,0,0,0,1,3,,2126,510,2125980,509700,495
CH-LT-67,CH,LT,67,CH-LT-067,901067,,Chalco,Late Toltec,72-1,Jeffrey Parsons,"Chalco, Mixquic, Juchitepec Ozalid (1:25000)",2126.91,510.8,2245,2245,0,0,8,"Lakeshore Plain, Freshwater, away from sloping ground",Deep (100+ cm),Deep (100+ cm),,,None,None,,,,,,Agricultural,None or Unspecified,680,1.7,0,0,0,0,0,,,FALSE,,Trace,L,,,,,,,Substantial,10,5,10,,AD,2,Small hamlet or temporary camp,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,3,,2127,511,2126910,510800,496
CH-LT-68,CH,LT,68,CH-LT-068,901068,,Chalco,Toltec,69-1,Jeffrey Parsons,1969 Survey Map (1:25000),2127.6,511.57,2245,2245,0,0,8,"Lakeshore Plain, Freshwater, away from sloping ground",Deep (100+ cm),Deep (100+ cm),,,None,None,,,,,,Agricultural,None or Unspecified,675,6.5,0,0,0,0,0,,,FALSE,,,LM,,,,,,,,130,65,130,,AD,3,Small dispersed village,,1,0,0,0,0,0,0,,0,0,0,1,1,0,1,3,,2128,512,2127600,511570,497
CH-LT-69,CH,LT,69,CH-LT-069,901069,,Chalco,Late Toltec,69-1,Jeffrey Parsons,1969 Survey Map (1:25000),2129.1,512.12,2245,2245,0,0,8,"Lakeshore Plain, Freshwater, away from sloping ground",Deep (100+ cm),Deep (100+ cm),,,None,None,,,,,,Agricultural,Moderate (determination of boundaries problematic),675,0.5,0,0,0,0,0,,,FALSE,,Trace,L,,,,,,,Substantial,10,5,10,,AD,2,Small hamlet or temporary camp,,2,0,0,0,0,0,0,,0,0,0,1,0,1,1,3,,2129,512,2129100,512120,498
CH-LT-70,CH,LT,70,CH-LT-070,901070,,Chalco,Toltec,69-1,Jeffrey Parsons,1969 Survey Map (1:25000),2128.9,505.3,2245,2245,0,0,2,Island,Deep (100+ cm),Deep (100+ cm),,,Very slight,,None,Slight,,,,Grazing,None or Unspecified,670,0.5,0,0,0,0,0,,,FALSE,,Trace,L,,,,,,,Substantial,10,5,10,,AD,2,Small hamlet or temporary camp,,3,0,0,0,0,0,0,,0,0,0,2,1,1,1,3,,2129,505,2128900,505300,500
CH-LT-71,CH,LT,71,CH-LT-071,901071,,Chalco,Aztec,69-1,Jeffrey Parsons,1969 Survey Map (1:25000),2127.95,507.3,2240,2240,0,0,4,"Lakebed, Freshwater",Deep (100+ cm),Deep (100+ cm),,,None,None,,,,,,Agricultural,None or Unspecified,675,0.3,1,0,0,1,1,400,,TRUE,,Trace,L,,,,,,,Substantial,10,5,10,,HC,2,Small hamlet or temporary camp,,1,0,0,0,0,0,0,,0,0,0,1,1,0,1,3,,2128,507,2127950,507300,501
