Site,Region,SitePeriod,SiteNum,NameSort,SiteCode,SiteName,FieldSite Region,FieldSite Period,SurveyYearNumber,Supervisor,Map,North,East,Elev,ElevMed,ElevMin,ElevMax,EZcode,EnvironmentalZone,Soil,SoilMed,SoilMin,SoilMax,Erosion,ErosionMed,ErosionMin,ErosionMax,OtherSiteAggreg,SpatialDiff,VisibFactors,ModernUse,ModernSettlement,Rainfall,Area,MoundDomestic,MoundCeremonial,MoundQuestionable,MoundTotal,MoundRecorded,DMoundArea,VagueMounding,Architecture,TerraceConfidence,TerraceExtent,Sherd1,Sherd2,Sherd3,Sherd4,RubbleSite,WallBases,Walls,Rubble,Population,PopMin,PopMax,RevPopMethod,PopMethod,stcode,SiteType,SubPeriod1,SubPeriod2,OccEF,OccMF,OccLF,OccTF,OccCL,OccEC,OccMC,OccLC,OccET,OccLT,OccAZ,OccEA,OccLA,OccTot,Group,Comments,NorthOld,EastOld,NorthGIS,EastGIS,Recnum
CU-CL-31,CU,CL,31,CU-CL-031,0,,,,,,,2170.24,487,2255,0,0,0,,Lower Piedmont,Very Shallow,,,,Moderate,,,,,,,Grazing & Agri,,650,7.6,,,,,,,,FALSE,,,LM,M,,,,,,,211,103,211,AD,AD,,Sm Nucl Village,0,0,0,1,2,1,0,1,1,1,1,1,0,1,1,0,2,,2170,487,2170240,487000,2187
CU-CL-32,CU,CL,32,CU-CL-032,0,,,,,,,2170.33,488,2274,0,0,0,,Lower Piedmont,Deep,,,,Very Slight,,,,,,,Settlement,,640,1,,,,,,,,FALSE,,,L,,,,,,,,10,5,10,AD,AD,,Small Hamlet,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,2,,2170,488,2170330,488000,2188
CU-CL-33,CU,CL,33,CU-CL-033,0,,,,,,,2170.23,489,2260,0,0,0,,Lower Piedmont,Very Shallow,,,,Slight-Moderate,,,,,,,Settlement & Agri,,640,17.5,,,,,,,,FALSE,,,LM,M,H,,,,,,875,438,875,AD,AD,,Lg Nucl Village,0,0,0,0,2,1,0,1,1,1,1,1,0,1,1,0,2,,2170,489,2170230,489000,2189
CU-CL-34,CU,CL,34,CU-CL-034,0,,,,,,,2170.12,490,2255,0,0,0,,Lower Piedmont,Deep,,,,Very Slight,,,,,,,Settlement & Agri,,640,0.8,,,,,,,,FALSE,,,L,,,,,,,,8,4,8,AD,AD,,Small Hamlet,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,2,,2170,490,2170120,490000,2190
CU-CL-35,CU,CL,35,CU-CL-035,0,,,,,,,2169.95,490,2260,0,0,0,,Lower Piedmont,Deep,,,,Very Slight,,,,,,,Agricultural,,630,0.1,,,,,,,,FALSE,,,VL,,,,,,,,,,,NA,AD,,Questionable,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,,2170,490,2169950,490000,2191
CU-CL-36,CU,CL,36,CU-CL-036,0,,,,,,,2170.07,491,2275,0,0,0,,Lower Piedmont,Shallow,,,,Very Slight,,,,,,,"Graz, Agri, & Set",,630,26.3,,,,,,,,FALSE,,,LM,M,MH,,,,,,1312,656,1312,AD,AD,,Provincial Ctr,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,0,2,,2170,491,2170070,491000,2192
CU-CL-37,CU,CL,37,CU-CL-037,0,,,,,,,2168.95,493,2270,0,0,0,,Lower Piedmont,Medium-Deep,,,,Very Slight,,,,,,,Settlement,,620,0.1,,,,,,,,FALSE,,,VL,,,,,,,,,,,NA,AD,,Questionable,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,2,,2169,493,2168950,493000,2193
CU-CL-38,CU,CL,38,CU-CL-038,0,,,,,,,2168.48,494,2250,0,0,0,,Lower Piedmont,Deep,,,,Moderate,,,,,,,Agricultural,,620,0.1,,,,,,,,FALSE,,,VL,,,,,,,,,,,NA,AD,,Questionable,0,0,0,1,0,1,0,1,1,1,1,1,0,0,1,0,2,,2168,494,2168480,494000,2194
CU-CL-39,CU,CL,39,CU-CL-039,0,,,,,,,2166.91,494,2315,0,0,0,,Lower Piedmont,Medium-Deep,,,,Moderate,,,,,,,Settlement & Agri,,620,6,,,,,,,,FALSE,,,L,,,,,,,,60,30,60,AD,AD,,Hamlet,0,0,0,2,2,1,0,1,1,0,1,1,0,1,1,0,2,,2167,494,2166910,494000,2195
CU-CL-40,CU,CL,40,CU-CL-040,0,,,,,,,2166.1,495,2270,0,0,0,,Lower Piedmont,Shallow-Medium,,,,None,,,,,,,Settlement,,610,6.8,,,,,,,,FALSE,,,LM,M,,,,,,,255,119,255,AD,AD,,Sm Nucl Village,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,2,,2166,495,2166100,495000,2196
CU-CL-41,CU,CL,41,CU-CL-041,0,,,,,,,2165.77,496,2242,0,0,0,,Deep Soil Alluvium,Deep,,,,None,,,,,,,Settlement,,610,23,6,,,,,15300,,FALSE,,,M,MH,,,,,,,1350,675,1350,AD,AD,,Provincial Ctr,0,0,0,0,0,0,0,1,1,1,2,0,0,1,1,0,2,,2166,496,2165770,496000,2197
CU-CL-42,CU,CL,42,CU-CL-042,0,,,,,,,2163.75,496,2239,0,0,0,,Saline Lakeshore Plain,Deep,,,,None,,,,,,,None,,610,0.1,,,,,,,,FALSE,,,VL,,,,,,,,0,0,0,UA,AD,,Salt Station,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,2,,2164,496,2163750,496000,2198
CU-CL-43,CU,CL,43,CU-CL-043,0,,,,,,,2163.93,495,2243,0,0,0,,Deep Soil Alluvium,Deep,,,,None,,,,,,,Settlement & Agri,,610,1.5,,,,,,,,FALSE,,,M,,,,,,,,75,38,75,AD,AD,,Hamlet,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,2,,2164,495,2163930,495000,2199
CU-CL-44,CU,CL,44,CU-CL-044,0,,,,,,,2163.57,495,2255,0,0,0,,Lower Piedmont,Deep,,,,None,,,,,,,Settlement,,610,1,,,,,,,,FALSE,,,M,,,,,,,,50,25,50,AD,AD,,Hamlet,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,2,,2164,495,2163570,495000,2200
CU-CL-45,CU,CL,45,CU-CL-045,0,,,,,,,2162.56,492,2290,0,0,0,,Lower Piedmont,Shallow-Medium,,,,None,,,,,,,Settlement & Agri,,620,1.2,,,,,,,,FALSE,,,VL,L,,,,,,,6,2,6,AD,AD,,Small Hamlet,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,2,,2163,492,2162560,492000,2201
CU-CL-46,CU,CL,46,CU-CL-046,0,,,,,,,2162.13,492,2279,0,0,0,,Lower Piedmont,Deep,,,,Very Slight,,,,,,,"Graz, Agri, & Set",,620,0.1,,,,,,,,FALSE,,,VL,,,,,,,,,,,NA,AD,,Questionable,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,2,,2162,492,2162130,492000,2202
