Site,Region,SitePeriod,SiteNum,NameSort,SiteCode,SiteName,FieldSite Region,FieldSite Period,SurveyYearNumber,Supervisor,Map,North,East,Elev,ElevMed,ElevMin,ElevMax,EZcode,EnvironmentalZone,Soil,SoilMed,SoilMin,SoilMax,Erosion,ErosionMed,ErosionMin,ErosionMax,OtherSiteAggreg,SpatialDiff,VisibFactors,ModernUse,ModernSettlement,Rainfall,Area,MoundDomestic,MoundCeremonial,MoundQuestionable,MoundTotal,MoundRecorded,DMoundArea,VagueMounding,Architecture,TerraceConfidence,TerraceExtent,Sherd1,Sherd2,Sherd3,Sherd4,RubbleSite,WallBases,Walls,Rubble,Population,PopMin,PopMax,RevPopMethod,PopMethod,stcode,SiteType,SubPeriod1,SubPeriod2,OccEF,OccMF,OccLF,OccTF,OccCL,OccEC,OccMC,OccLC,OccET,OccLT,OccAZ,OccEA,OccLA,OccTot,Group,Comments,NorthOld,EastOld,NorthGIS,EastGIS,Recnum
TE-AZ-38,TE,AZ,38,TE-AZ-038,0,,,,,,,2173.01,529,2560,0,0,0,,Upper Piedmont,Shallow,,,,Deep,,,,,,,"Graz, Agri, & Set",,650,88,65,,,,,40675,,TRUE,,,,,,,,,,,490,0,0,,HC,,Sm Disp Village,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,,2173,529,2173010,529000,3667
TE-AZ-39,TE,AZ,39,TE-AZ-039,0,,,,,,,2175.1,527,2425,0,0,0,,Middle Piedmont,Shallow-Medium,,,,Moderate-Deep,,,,,,,Settlement & Agri,,640,101,29,,,,,11600,,TRUE,,,,,,,,,,,280,0,0,,HC,,Sm Disp Village,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,,2175,527,2175100,527000,3668
TE-AZ-40,TE,AZ,40,TE-AZ-040,0,,,,,,,2188.9,515,2414,0,0,0,,Middle Piedmont,Shallow,,,,Moderate-Deep,,,,,,,Agricultural,,550,18,21,,,,,13100,,TRUE,,,,,,,,,,,280,0,0,,AD,,Sm Disp Village,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,4,,2189,515,2188900,515000,3669
TE-AZ-41,TE,AZ,41,TE-AZ-041,0,,,,,,,2189.54,514,2395,0,0,0,,Middle Piedmont,Shallow-Medium,,,,Deep,,,,,,,Agricultural,,550,9,23,,,,,6630,,TRUE,,,,,,,,,,,280,0,0,,AD,,Sm Disp Village,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,4,,2190,514,2189540,514000,3670
TE-AZ-42,TE,AZ,42,TE-AZ-042,0,,,,,,,2186.6,516,2520,0,0,0,,Upper Piedmont,Very Shallow,,,,Deep,,,,,,,Agricultural,,540,7,20,,,,,,,TRUE,,,,,,,,,,,105,0,0,,AD,,Sm Disp Village,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,4,,2187,516,2186600,516000,3671
TE-AZ-43,TE,AZ,43,TE-AZ-043,0,,,,,,,2188.34,514,2425,0,0,0,,Middle Piedmont,Medium,,,,Moderate,,,,,,,Agricultural,,550,18,20,,,,,8739,,TRUE,,,,,,,,,,,315,0,0,,AD,,Sm Disp Village,0,0,0,0,1,3,0,1,1,1,0,4,0,0,0,0,4,,2188,514,2188340,514000,3672
TE-AZ-44,TE,AZ,44,TE-AZ-044,0,,,,,,,2189.42,514,2408,0,0,0,,Middle Piedmont,Medium-Deep,,,,Slight,,,,,,,Settlement & Agri,,550,6,22,,,,,,,TRUE,,,,,,,,,,,105,0,0,,AD,,Sm Disp Village,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,4,,2189,514,2189420,514000,3673
TE-AZ-45,TE,AZ,45,TE-AZ-045,0,,,,,,,2187.5,518,2520,0,0,0,,Upper Piedmont,Shallow-Medium,,,,Slight,,,,,,,Settlement & Agri,,530,38,10,,,,,8750,,FALSE,,,,,,,,,,,100,0,0,,HC,,Sm Disp Village,0,0,0,0,0,2,0,2,2,0,0,1,0,0,0,0,4,,2188,518,2187500,518000,3674
TE-AZ-46,TE,AZ,46,TE-AZ-046,0,,,,,,,2186.89,518,2568,0,0,0,,Upper Piedmont,Very Shallow,,,,Moderate-Deep,,,,,,,Grazing & Agri,,530,15,13,,,,,1805.555556,,TRUE,,,,,,,,,,,280,0,0,,AD,,Sm Disp Village,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,4,,2187,518,2186890,518000,3675
TE-AZ-47,TE,AZ,47,TE-AZ-047,0,,,,,,,2187.58,517,2503,0,0,0,,Upper Piedmont,Very Shallow,,,,Moderate-Deep,,,,,,,Grazing & Agri,,530,4.7,1,,,,,750,,FALSE,,,,,,,,,,,105,0,0,,AD,,Sm Disp Village,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,4,,2188,517,2187580,517000,3676
