Name,MexState,Source,Year,LonX,LatY,OBJECTID,it_ID,it_GZ_ID,Region,Type,YearStart,YearEnd,it_Etnia_principal,GZ_label,GZ_partido_generico,GZ_provincia_generica,GZ_categoria_especial,Country,NameFull,NameVariants,NameModernDiff,Evang,ImportanciaRank,Notes,PopTotal,1782,Tributarios_Indios,HypotheticalTributarios_NonIndios,HypotheticalTributarios_Total,Eclesiasticos,Pop_Blancos,Casados_Blancos,Solteros_Blancos,MenM_Blancos,Casadas_Blancos,Solteras_Blancos,MenF_Blancos,Viudos_Blancos,Viudas_Blancos,Fam_Blancos,Pop_Indios,Casados_Indios,Solteros_Indios,MenM_Indios,Casadas_Indios,Solteras_Indios,MenF_Indios,Viudos_Indios,Viudas_Indios,Fam_Indios,Pop_Indefinidos,Casados_Indefinidos,Solteros_Indefinidos,MenM_Indefinidos,Casadas_Indefinidos,Solteras_Indefinidos,MenF_Indefinidos,Viudos_Indefinidos,Viudas_Indefinidos,Fam_Indefinidos,Pop_Mestizos,Casados_Mestizos,Solteros_Mestizos,MenM_Mestizos,Casadas_Mestizos,Solteras_Mestizos,MenF_Mestizos,Viudos_Mestizos,Viudas_Mestizos,Fam_Mestizos,Pop_Castas,Casados_Castas,Solteros_Castas,MenM_Castas,Casadas_Castas,Solteras_Castas,MenF_Castas,Viudos_Castas,Viudas_Castas,Fam_Castas,Pop_Negros,Casados_Negros,Solteros_Negros,MenM_Negros,Casadas_Negros,Solteras_Negros,MenF_Negros,Viudos_Negros,Viudas_Negros,Fam_Negros,Pop_NMCI,Casados_NMCI,Solteros_NMCI,MenM_NMCI,Casadas_NMCI,Solteras_NMCI,MenF_NMCI,Viudos_NMCI,Viudas_NMCI,Fam_NMCI,Pop_NonIndios,Casados_NonIndios,Solteros_NonIndios,MenM_NonIndios,Casadas_NonIndios,Solteras_NonIndios,MenF_NonIndios,Viudos_NonIndios,Viudas_NonIndios,Fam_NonIndios,Pop_Total,Casados_Total,Solteros_Total,MenM_Total,Casadas_Total,Solteras_Total,MenF_Total,Viudos_Total,Viudas_Total,Fam_Total
Coatepec,Mexico,sanchez-santiro,1778,-98.846111,19.383889,1236,1264,1000082,Nueva Espana,Curato,1777,1779,,Coatepec,Coatepec,Mexico,Pueblo de indios,Mexico,Natividad de La Virgen Coatepec,Coatepec-Chalco| Coatepec Chalco|,None,Natividad de La Virgen,5,,1301,,251,135.5,386.5,1,209,62,16,23,62,11,22,4,8,62,925,221,35,211,221,3,212,22,0,280,0,0,0,0,0,0,0,0,0,0,78,17,4,19,17,3,18,0,0,17,89,19,14,11,19,9,11,1,5,32,0,0,0,0,0,0,0,0,0,0,167,36,18,30,36,12,29,1,5,49,376,98,34,53,98,23,51,5,13,111,1301,319,69,264,319,26,263,27,13,391
Chalco,Mexico,sanchez-santiro,1778,-98.8975,19.264722,1237,1265,1000080,Nueva Espana,Curato,1777,1779,,Chalco,Chalco,Mexico,Pueblo de indios,Mexico,Santiago Chalco,None,None,Santiago,6,,2679,,490.5,355,845.5,3,664,111,70,110,111,91,110,23,35,175,1623,369,83,321,369,49,321,27,84,485,0,0,0,0,0,0,0,0,0,0,166,35,13,25,35,18,25,2,13,47,226,34,15,36,35,25,36,7,38,41,0,0,0,0,0,0,0,0,0,0,392,69,28,61,70,43,61,9,51,88,1056,180,98,171,181,134,171,32,86,263,2679,549,181,492,550,183,492,59,170,748
Cadereyta,Queretaro,sanchez-santiro,1778,-99.8155387,20.6949602,1238,1266,1000079,Nueva Espana,Curato,1777,1779,,Cadereyta,Cadereyta,Mexico,Villa,Mexico,None,None,None,San Pedro y San Pablo,7,,10335,,2225,936.5,3161.5,5,1821,300,216,323,300,266,323,29,59,300,7214,1485,544,1382,1485,696,1382,54,186,1485,0,0,0,0,0,0,0,0,0,0,738,129,19,182,129,65,182,7,25,129,562,97,20,116,97,97,117,4,14,98,0,0,0,0,0,0,0,0,0,0,1300,226,39,298,226,162,299,11,39,227,3121,526,255,621,526,428,622,40,98,527,10335,2011,799,2003,2011,1124,2004,94,284,2012
Apam,Hidalgo,sanchez-santiro,1778,-98.449722,19.71,1239,1267,1000078,Nueva Espana,Curato,1777,1779,,Apan,Apan,Mexico,Pueblo de indios,Mexico,Asuncion Apan,None,None,Asuncion,5,,5852,,1176.5,794.5,1971,6,704,108,84,95,108,159,96,16,32,167,3520,799,315,584,799,305,583,35,100,937,28,2,2,1,22,0,1,0,0,2,1425,247,171,236,247,192,237,15,80,323,175,29,25,26,29,31,25,0,10,39,0,0,0,0,0,0,0,0,0,0,1628,278,198,263,298,223,263,15,90,364,2332,386,282,358,406,382,359,31,122,531,5852,1185,597,942,1205,687,942,66,222,1468
Actopan,Hidalgo,sanchez-santiro,1778,-98.944722,20.266944,6709,6881,1000077,Nueva Espana,Curato,1777,1779,,Actopan,Actopan,Mexico,Pueblo de indios,Mexico,San Nicolas Actopan,Octupan|Octupa,None,San Nicolas,5,,25811,,7094,1492,8586,7,1190,157,149,234,157,166,234,21,65,243,20991,3556,3011,3401,3556,2837,3402,314,914,4844,0,0,0,0,0,0,0,0,0,0,2690,444,318,505,444,344,505,27,103,574,940,134,83,175,134,204,176,13,21,168,0,0,0,0,0,0,0,0,0,0,3630,578,401,680,578,548,681,40,124,742,4820,735,550,914,735,714,915,61,189,985,25811,4291,3561,4315,4291,3551,4317,375,1103,5829
Pachuca,Hidalgo,sanchez-santiro,1778,-98.733139,20.121599,6710,6882,1000007,Nueva Espana,Curato,1777,1779,,Pachuca,Pachuca,Mexico,Real de minas,Mexico,Pachuca,Real de Pachuca|,None,None,3,,7990,,925,1759,2684,6,2500,411,323,355,411,463,355,27,149,468,2870,460,305,510,460,450,510,55,120,474,0,0,0,0,0,0,0,0,0,0,1215,310,120,200,310,35,200,15,25,385,1400,392,21,242,392,34,243,30,46,347,5,2,0,0,2,0,1,0,0,2,2620,704,141,442,704,69,444,45,71,734,5120,1115,464,797,1115,532,799,72,220,1202,7990,1575,769,1307,1575,982,1309,127,340,1676
Acapulco,Guerrero,sanchez-santiro,1778,-99.90849,16.84865,6711,6883,1000006,Nueva Espana,Curato,1777,1779,,Acapulco,Acapulco,Mexico,Plaza,Mexico,Acapulco,None,Acapulco,None,5,,2527,,142.5,691.5,834,2,31,11,7,0,10,0,0,1,0,24,511,80,53,112,81,37,113,10,25,154,0,0,0,0,0,0,0,0,0,0,102,16,13,17,17,10,17,3,9,21,1744,325,190,279,325,230,280,23,92,359,139,27,11,18,28,22,19,4,10,47,1985,368,214,314,370,262,316,30,111,427,2016,379,221,314,380,262,316,31,111,451,2527,459,274,426,461,299,429,41,136,605
Parroquia del Sagrario,Ciudad de Mexico,sanchez-santiro,1778,-99.13313445,19.43378643,6712,6884,1000001,Nueva Espana,Barrio,1777,1779,,Mexico,Mexico,Mexico,Ciudad,Mexico,Mexico,None,Ciudad de Mexico,None,1,,33259,,1734,11011.5,12745.5,297,20501,3560,2404,2205,3560,3815,2206,387,2067,5048,4594,654,608,564,653,1006,563,84,462,664,0,0,0,0,0,0,0,0,0,0,3892,495,275,475,495,650,475,31,996,609,4127,605,438,483,605,906,483,64,543,669,145,12,28,8,13,52,9,5,18,10,8164,1112,741,966,1113,1608,967,100,1557,1288,28665,4672,3145,3171,4673,5423,3173,487,3624,6336,33259,5326,3753,3735,5326,6429,3736,571,4086,7000
Ciudad de Mexico,Ciudad de Mexico,sanchez-santiro,1778,-99.13313445,19.43378643,6733,6906,1000001,Nueva Espana,Nucleo,1777,1779,,Mexico,Mexico,Mexico,Ciudad,Mexico,Mexico,None,Ciudad de Mexico,None,1,,7962,,81,188,269,5469,5701,26,72,0,27,89,0,9,9,0,160,29,44,0,27,53,0,1,6,0,1956,0,0,0,0,0,0,0,0,0,145,0,0,0,0,0,0,35,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2101,0,0,0,0,0,0,35,110,0,7802,26,72,0,27,89,0,44,119,0,7962,55,116,0,54,142,0,45,125,0
Apan Juris,Hidalgo,sanchez-santiro,1778,-98.45087136,19.75631681,953,1027,1000078,Nueva Espana,Jurisdiccion,1777,1779,,,,,Jurisdiccion,Mexico,Apan,,,,,,8860,,1745,1307,3052,8,1340,248,166,213,247,245,213,30,58,,5130,1187,487,927,1186,418,925,50,161,,49,7,9,3,27,0,3,21,104,,1863,342,233,353,342,238,355,6,25,,478,73,64,95,74,74,94,0,1,,4,0,0,1,1,0,2,0,0,,2394,422,306,452,444,312,454,27,130,,3734,670,472,665,691,557,667,57,188,,7963,1857,959,1592,1877,975,1592,107,349,
