Year,FertilityRatio,Series
1558.253233,0.407407823,Mild Simulation
1558.571986,0.411891681,Mild Simulation
1558.895497,0.414651417,Mild Simulation
1559.37886,0.41948067,Mild Simulation
1560.020172,0.427069089,Mild Simulation
1560.180024,0.429138605,Mild Simulation
1561.351323,0.424659886,Mild Simulation
1562.18579,0.42224897,Mild Simulation
1563.175352,0.423631693,Mild Simulation
1564.16206,0.426048888,Mild Simulation
1564.832869,0.422947753,Mild Simulation
1566.16402,0.42053855,Mild Simulation
1567.008954,0.414334567,Mild Simulation
1567.184981,0.410542071,Mild Simulation
1567.689278,0.407785189,Mild Simulation
1568.690258,0.40503002,Mild Simulation
1571.005262,0.406072485,Mild Simulation
1571.833068,0.40607534,Mild Simulation
1572.49912,0.404698326,Mild Simulation
1572.836903,0.402285698,Mild Simulation
1573.673273,0.399185134,Mild Simulation
1574.497274,0.400567285,Mild Simulation
1574.984443,0.404017241,Mild Simulation
1575.303196,0.408501099,Mild Simulation
1575.786559,0.413330352,Mild Simulation
1576.103409,0.418503858,Mild Simulation
1576.586772,0.423333111,Mild Simulation
1577.065378,0.429886486,Mild Simulation
1577.729526,0.429199121,Mild Simulation
1578.389868,0.429891053,Mild Simulation
1579.377527,0.431963424,Mild Simulation
1579.869454,0.433689258,Mild Simulation
1580.868531,0.431623738,Mild Simulation
1582.036024,0.428524316,Mild Simulation
1583.037004,0.425769147,Mild Simulation
1583.542251,0.422667441,Mild Simulation
1584.047499,0.419565735,Mild Simulation
1584.721162,0.415430126,Mild Simulation
1585.394826,0.411294518,Mild Simulation
1585.734512,0.408192241,Mild Simulation
1586.902005,0.405092819,Mild Simulation
1587.736472,0.402681903,Mild Simulation
1588.906819,0.398548008,Mild Simulation
1589.891624,0.401654852,Mild Simulation
1590.377841,0.405449632,Mild Simulation
1590.866913,0.408209939,Mild Simulation
1591.354082,0.411659895,Mild Simulation
1592.168568,0.41649029,Mild Simulation
1592.495885,0.417870729,Mild Simulation
1593.482592,0.420287924,Mild Simulation
1594.141032,0.421669505,Mild Simulation
1594.626298,0.42580911,Mild Simulation
1595.276173,0.430294109,Mild Simulation
1595.759536,0.435123362,Mild Simulation
1595.921292,0.43650323,Mild Simulation
1597.398974,0.440991084,Mild Simulation
1599.211585,0.444100783,Mild Simulation
1600.204954,0.444104208,Mild Simulation
1601.188807,0.447555877,Mild Simulation
1602.357251,0.44411163,Mild Simulation
1603.024254,0.442389792,Mild Simulation
1604.179377,0.443773086,Mild Simulation
1604.856847,0.438258181,Mild Simulation
1605.870196,0.431020296,Mild Simulation
1606.038612,0.429986394,Mild Simulation
1607.365957,0.428956488,Mild Simulation
1609.346984,0.431032284,Mild Simulation
1610.006375,0.432069041,Mild Simulation
1611.147226,0.438624699,Mild Simulation
1611.961712,0.443455094,Mild Simulation
1612.448881,0.44690505,Mild Simulation
1613.752438,0.454495752,Mild Simulation
1614.73534,0.458292244,Mild Simulation
1615.577419,0.453122734,Mild Simulation
1616.085521,0.448986555,Mild Simulation
1616.590769,0.445884849,Mild Simulation
1617.5927,0.442784856,Mild Simulation
1618.426216,0.440718765,Mild Simulation
1619.419584,0.44072219,Mild Simulation
1620.584222,0.43865724,Mild Simulation
1621.087567,0.436245183,Mild Simulation
1621.422495,0.434867028,Mild Simulation
1622.586182,0.433146902,Mild Simulation
1623.747015,0.43246125,Mild Simulation
1624.413066,0.431084236,Mild Simulation
