Name,Year,Age,Status,AgeStatus,T,M,F
Guanajuato (no ciudad),1790,7_15,Solteros,Solteros_7_15,82269,40816,41453
Guanajuato (no ciudad),1790,16_24,Solteros,Solteros_16_24,28651,15081,13570
Guanajuato (no ciudad),1790,25_39,Solteros,Solteros_25_39,17780,8904,8876
Guanajuato (no ciudad),1790,40_49,Solteros,Solteros_40_49,7106,3695,3411
Guanajuato (no ciudad),1790,50_up,Solteros,Solteros_50_up,3928,1972,1956
Guanajuato (no ciudad),1790,Total,Casados,Casados_Total,137643,69862,67781
Guanajuato (no ciudad),1790,0_6,Casados,Casados_0_6,0,0,0
Guanajuato (no ciudad),1790,7_15,Casados,Casados_7_15,17855,8818,9037
Guanajuato (no ciudad),1790,16_24,Casados,Casados_16_24,26026,12287,13739
Guanajuato (no ciudad),1790,25_39,Casados,Casados_25_39,49630,25477,24153
Guanajuato (no ciudad),1790,40_49,Casados,Casados_40_49,24915,12755,12160
Guanajuato (no ciudad),1790,50_up,Casados,Casados_50_up,19217,10525,8692
Guanajuato (no ciudad),1790,Total,Viudos,Viudos_Total,29250,13858,15392
Guanajuato (no ciudad),1790,0_6,Viudos,Viudos_0_6,0,0,0
Guanajuato (no ciudad),1790,7_15,Viudos,Viudos_7_15,1506,691,815
Guanajuato (no ciudad),1790,16_24,Viudos,Viudos_16_24,2864,1335,1529
Guanajuato (no ciudad),1790,25_39,Viudos,Viudos_25_39,6718,2817,3901
Guanajuato (no ciudad),1790,40_49,Viudos,Viudos_40_49,8103,4062,4041
Guanajuato (no ciudad),1790,50_up,Viudos,Viudos_50_up,10059,4953,5106
Guanajuato + Ciudad Guanajuato,1790,Total,Pop,Pop_Total,430127,214553,215574
Guanajuato + Ciudad Guanajuato,1790,0_6,Pop,Pop_0_6,95675,47840,47835
Guanajuato + Ciudad Guanajuato,1790,7_15,Pop,Pop_7_15,108945,53944,55001
Guanajuato + Ciudad Guanajuato,1790,16_24,Pop,Pop_16_24,63362,31207,32155
Guanajuato + Ciudad Guanajuato,1790,25_39,Pop,Pop_25_39,80588,39712,40876
Guanajuato + Ciudad Guanajuato,1790,40_49,Pop,Pop_40_49,44951,22760,22191
Guanajuato + Ciudad Guanajuato,1790,50_up,Pop,Pop_50_up,36606,19090,17516
Guanajuato + Ciudad Guanajuato,1790,Total,Solteros,Solteros_Total,249387,124191,125196
Guanajuato + Ciudad Guanajuato,1790,0_6,Solteros,Solteros_0_6,95675,47840,47835
Guanajuato + Ciudad Guanajuato,1790,7_15,Solteros,Solteros_7_15,87132,43238,43894
Guanajuato + Ciudad Guanajuato,1790,16_24,Solteros,Solteros_16_24,32088,16427,15661
Guanajuato + Ciudad Guanajuato,1790,25_39,Solteros,Solteros_25_39,21480,10104,11376
Guanajuato + Ciudad Guanajuato,1790,40_49,Solteros,Solteros_40_49,8428,4281,4147
Guanajuato + Ciudad Guanajuato,1790,50_up,Solteros,Solteros_50_up,4584,2301,2283
Guanajuato + Ciudad Guanajuato,1790,Total,Casados,Casados_Total,146048,73900,72148
Guanajuato + Ciudad Guanajuato,1790,0_6,Casados,Casados_0_6,0,0,0
Guanajuato + Ciudad Guanajuato,1790,7_15,Casados,Casados_7_15,19533,9626,9907
Guanajuato + Ciudad Guanajuato,1790,16_24,Casados,Casados_16_24,27910,13195,14715
Guanajuato + Ciudad Guanajuato,1790,25_39,Casados,Casados_25_39,51136,26183,24953
Guanajuato + Ciudad Guanajuato,1790,40_49,Casados,Casados_40_49,26629,13561,13068
Guanajuato + Ciudad Guanajuato,1790,50_up,Casados,Casados_50_up,20840,11335,9505
Guanajuato + Ciudad Guanajuato,1790,Total,Viudos,Viudos_Total,34692,16462,18230
Guanajuato + Ciudad Guanajuato,1790,0_6,Viudos,Viudos_0_6,0,0,0
Guanajuato + Ciudad Guanajuato,1790,7_15,Viudos,Viudos_7_15,2280,1080,1200
Guanajuato + Ciudad Guanajuato,1790,16_24,Viudos,Viudos_16_24,3364,1585,1779
Guanajuato + Ciudad Guanajuato,1790,25_39,Viudos,Viudos_25_39,7972,3425,4547
Guanajuato + Ciudad Guanajuato,1790,40_49,Viudos,Viudos_40_49,9894,4918,4976
Guanajuato + Ciudad Guanajuato,1790,50_up,Viudos,Viudos_50_up,11182,5454,5728
Ciudad Guanajuato,1790,Total,Pop,Pop_Total,32098,14620,17478
Ciudad Guanajuato,1790,0_6,Pop,Pop_0_6,4273,2095,2178
Ciudad Guanajuato,1790,7_15,Pop,Pop_7_15,7315,3619,3696
Ciudad Guanajuato,1790,16_24,Pop,Pop_16_24,5821,2504,3317
Ciudad Guanajuato,1790,25_39,Pop,Pop_25_39,6460,2514,3946
Ciudad Guanajuato,1790,40_49,Pop,Pop_40_49,4827,2248,2579
Ciudad Guanajuato,1790,50_up,Pop,Pop_50_up,3402,1640,1762
Ciudad Guanajuato,1790,Total,Solteros,Solteros_Total,18251,7978,10273
Ciudad Guanajuato,1790,0_6,Solteros,Solteros_0_6,4273,2095,2178
Ciudad Guanajuato,1790,7_15,Solteros,Solteros_7_15,4863,2422,2441
Ciudad Guanajuato,1790,16_24,Solteros,Solteros_16_24,3437,1346,2091
Ciudad Guanajuato,1790,25_39,Solteros,Solteros_25_39,3700,1200,2500
Ciudad Guanajuato,1790,40_49,Solteros,Solteros_40_49,1322,586,736
Ciudad Guanajuato,1790,50_up,Solteros,Solteros_50_up,656,329,327
Ciudad Guanajuato,1790,Total,Casados,Casados_Total,8405,4038,4367
