ID,ID_orig,Name,Phase,Type,Subtype,Collection,Tracing,East,North,Region,SurvReg,Reg
1717,1739,Tl. 82,A,Structure,Tlatel,,,508247.2665,2161761.407,Texcoco I,TX,TX-I
1717,1739,Tl. 82,A,Structure,Tlatel,,,508247.2665,2161761.407,Texcoco I,TX,TX-I
2894,498,Tl. 82,,Structure,Tlatel,TRUE,Map_4,515838.7575,2125132.272,Chalco,CH,CH
819,819,Tl. 820,A,Structure,Tlatel,,,524092.048,2165107.93,Texcoco I,TX,TX-I
819,819,Tl. 820,A,Structure,Tlatel,,,524092.048,2165107.93,Texcoco I,TX,TX-I
820,820,Tl. 821,A,Structure,Tlatel,,,523991.2155,2165155.15,Texcoco I,TX,TX-I
820,820,Tl. 821,A,Structure,Tlatel,,,523991.2155,2165155.15,Texcoco I,TX,TX-I
872,872,Tl. 822,A,Structure,Tlatel,,,523533.7155,2164957.274,Texcoco I,TX,TX-I
872,872,Tl. 822,A,Structure,Tlatel,,,523533.7155,2164957.274,Texcoco I,TX,TX-I
871,871,Tl. 823,A,Structure,Tlatel,,,523585.776,2164982.983,Texcoco I,TX,TX-I
871,871,Tl. 823,A,Structure,Tlatel,,,523585.776,2164982.983,Texcoco I,TX,TX-I
870,870,Tl. 824,A,Structure,Tlatel,,,523732.359,2165142.111,Texcoco I,TX,TX-I
870,870,Tl. 824,A,Structure,Tlatel,,,523732.359,2165142.111,Texcoco I,TX,TX-I
873,873,Tl. 825,A,Structure,Tlatel,,,523591.443,2164634.053,Texcoco I,TX,TX-I
873,873,Tl. 825,A,Structure,Tlatel,,,523591.443,2164634.053,Texcoco I,TX,TX-I
782,782,Tl. 826,A,Structure,Tlatel,,,523260.109,2165403.294,Texcoco I,TX,TX-I
782,782,Tl. 826,A,Structure,Tlatel,,,523260.109,2165403.294,Texcoco I,TX,TX-I
761,761,Tl. 827,A,Structure,Tlatel,,,523527.843,2165599.872,Texcoco I,TX,TX-I
761,761,Tl. 827,A,Structure,Tlatel,,,523527.843,2165599.872,Texcoco I,TX,TX-I
772,772,Tl. 828,A,Structure,Tlatel,,,523514.955,2165525.673,Texcoco I,TX,TX-I
772,772,Tl. 828,A,Structure,Tlatel,,,523514.955,2165525.673,Texcoco I,TX,TX-I
773,773,Tl. 829,A,Structure,Tlatel,,,523545.2685,2165496.024,Texcoco I,TX,TX-I
773,773,Tl. 829,A,Structure,Tlatel,,,523545.2685,2165496.024,Texcoco I,TX,TX-I
532,532,Tl. 83,,Structure,Tlatel,,,516651.196,2157516.006,Texcoco II,TX,TX-II
1715,1737,Tl. 83,Tol-Az,Structure,Tlatel,,,508934.484,2161182.115,Texcoco I,TX,TX-I
1715,1737,Tl. 83,Tol-Az,Structure,Tlatel,,,508934.484,2161182.115,Texcoco I,TX,TX-I
1721,1743,Tl. 83,Tol-Az,Structure,Tlatel,,,502620.4735,2144609.752,Texcoco III,TX,TX-III
767,767,Tl. 830,A,Structure,Tlatel,,,523569.125,2165534.638,Texcoco I,TX,TX-I
767,767,Tl. 830,A,Structure,Tlatel,,,523569.125,2165534.638,Texcoco I,TX,TX-I
762,762,Tl. 831,A,Structure,Tlatel,,,523551.6155,2165565.841,Texcoco I,TX,TX-I
762,762,Tl. 831,A,Structure,Tlatel,,,523551.6155,2165565.841,Texcoco I,TX,TX-I
760,760,Tl. 832,A,Structure,Tlatel,,,523570.914,2165642.219,Texcoco I,TX,TX-I
760,760,Tl. 832,A,Structure,Tlatel,,,523570.914,2165642.219,Texcoco I,TX,TX-I
759,759,Tl. 833,A,Structure,Tlatel,,,523594.683,2165617.847,Texcoco I,TX,TX-I
759,759,Tl. 833,A,Structure,Tlatel,,,523594.683,2165617.847,Texcoco I,TX,TX-I
748,748,Tl. 834,A,Structure,Tlatel,,,523595.882,2165788.978,Texcoco I,TX,TX-I
748,748,Tl. 834,A,Structure,Tlatel,,,523595.882,2165788.978,Texcoco I,TX,TX-I
757,757,Tl. 835,A,Structure,Tlatel,,,523688.571,2165669.633,Texcoco I,TX,TX-I
757,757,Tl. 835,A,Structure,Tlatel,,,523688.571,2165669.633,Texcoco I,TX,TX-I
758,758,Tl. 836,A,Structure,Tlatel,,,523664.029,2165642.15,Texcoco I,TX,TX-I
758,758,Tl. 836,A,Structure,Tlatel,,,523664.029,2165642.15,Texcoco I,TX,TX-I
768,768,Tl. 837,A,Structure,Tlatel,,,523618.758,2165523.272,Texcoco I,TX,TX-I
768,768,Tl. 837,A,Structure,Tlatel,,,523618.758,2165523.272,Texcoco I,TX,TX-I
763,763,Tl. 838,A,Structure,Tlatel,,,523671.0835,2165546.721,Texcoco I,TX,TX-I
763,763,Tl. 838,A,Structure,Tlatel,,,523671.0835,2165546.721,Texcoco I,TX,TX-I
766,766,Tl. 839,A,Structure,Tlatel,,,523659.6425,2165524.28,Texcoco I,TX,TX-I
766,766,Tl. 839,A,Structure,Tlatel,,,523659.6425,2165524.28,Texcoco I,TX,TX-I
1034,1034,Tl. 84,,Structure,Tlatel,,,515921.2715,2165192.735,Texcoco I,TX,TX-I
1034,1034,Tl. 84,,Structure,Tlatel,,,515921.2715,2165192.735,Texcoco I,TX,TX-I
1722,1744,Tl. 84,Tol-Az,Structure,Tlatel,,,502571.761,2144613.116,Texcoco III,TX,TX-III
770,770,Tl. 840,A,Structure,Tlatel,,,523651.4955,2165460.779,Texcoco I,TX,TX-I
770,770,Tl. 840,A,Structure,Tlatel,,,523651.4955,2165460.779,Texcoco I,TX,TX-I
769,769,Tl. 841,A,Structure,Tlatel,,,523629.1065,2165502.633,Texcoco I,TX,TX-I
769,769,Tl. 841,A,Structure,Tlatel,,,523629.1065,2165502.633,Texcoco I,TX,TX-I
771,771,Tl. 842,A,Structure,Tlatel,,,523611.8865,2165456.734,Texcoco I,TX,TX-I
771,771,Tl. 842,A,Structure,Tlatel,,,523611.8865,2165456.734,Texcoco I,TX,TX-I
774,774,Tl. 843,A,Structure,Tlatel,,,523586.0805,2165431.634,Texcoco I,TX,TX-I
774,774,Tl. 843,A,Structure,Tlatel,,,523586.0805,2165431.634,Texcoco I,TX,TX-I
777,777,Tl. 844,,Structure,Tlatel,,,523593.4765,2165404.989,Texcoco I,TX,TX-I
777,777,Tl. 844,,Structure,Tlatel,,,523593.4765,2165404.989,Texcoco I,TX,TX-I
775,775,Tl. 845,A,Structure,Tlatel,,,523506.3,2165435.221,Texcoco I,TX,TX-I
775,775,Tl. 845,A,Structure,Tlatel,,,523506.3,2165435.221,Texcoco I,TX,TX-I
789,789,Tl. 846,A,Structure,Tlatel,,,523527.6245,2165411.783,Texcoco I,TX,TX-I
789,789,Tl. 846,A,Structure,Tlatel,,,523527.6245,2165411.783,Texcoco I,TX,TX-I
865,865,Tl. 847,A,Structure,Tlatel,,,523531.122,2165392.535,Texcoco I,TX,TX-I
865,865,Tl. 847,A,Structure,Tlatel,,,523531.122,2165392.535,Texcoco I,TX,TX-I
