Name,Year,Ages,T,M,F
Durango,1790,Pop_45_49,3816,1878,1938
Durango,1790,Pop_50_up,9919,5049,4870
Guadalajara,1790,Pop_Total,513366,235075,278291
Guadalajara,1790,Pop_0_4,57666,28904,28762
Guadalajara,1790,Pop_5_9,51366,26125,25241
Guadalajara,1790,Pop_10_14,54115,24457,29658
Guadalajara,1790,Pop_15_19,66616,30016,36600
Guadalajara,1790,Pop_20_24,67172,30572,36600
Guadalajara,1790,Pop_25_29,56083,23901,32182
Guadalajara,1790,Pop_30_34,44545,20566,23979
Guadalajara,1790,Pop_35_39,37650,15564,22086
Guadalajara,1790,Pop_40_44,27854,13340,14514
Guadalajara,1790,Pop_45_49,19621,8894,10727
Guadalajara,1790,Pop_50_up,30678,12736,17942
Guanajuato,1790,Pop_Total,454873,227483,227390
Guanajuato,1790,Pop_0_4,91645,46159,45486
Guanajuato,1790,Pop_5_9,73284,37138,36146
Guanajuato,1790,Pop_10_14,58051,28342,29709
Guanajuato,1790,Pop_15_19,39359,19058,20301
Guanajuato,1790,Pop_20_24,32472,15637,16835
Guanajuato,1790,Pop_25_29,30497,15148,15349
Guanajuato,1790,Pop_30_34,27051,13682,13369
Guanajuato,1790,Pop_35_39,22627,11239,11388
Guanajuato,1790,Pop_40_44,24588,12705,11883
Guanajuato,1790,Pop_45_49,18693,9285,9408
Guanajuato,1790,Pop_50_up,36606,19090,17516
Merida,1790,Pop_Total,364022,180579,183443
Merida,1790,Pop_0_4,78125,42855,35270
Merida,1790,Pop_5_9,52503,27730,24773
Merida,1790,Pop_10_14,36961,18066,18895
Merida,1790,Pop_15_19,34441,16386,18055
Merida,1790,Pop_20_24,32761,15546,17215
Merida,1790,Pop_25_29,22681,11344,11337
Merida,1790,Pop_30_34,21001,10504,10497
Merida,1790,Pop_35_39,17640,1143,10497
Merida,1790,Pop_40_44,21841,10924,10917
Merida,1790,Pop_45_49,18060,7563,10497
Merida,1790,Pop_50_up,28008,12518,15490
Mexico,1790,Pop_Total,1147973,574786,573187
Mexico,1790,Pop_0_4,192781,102273,90508
Mexico,1790,Pop_5_9,146246,78365,67881
Mexico,1790,Pop_10_14,123650,63755,59895
Mexico,1790,Pop_15_19,114349,55785,58564
Mexico,1790,Pop_20_24,105054,45159,59895
Mexico,1790,Pop_25_29,97068,45159,51909
Mexico,1790,Pop_30_34,97066,46488,50578
Mexico,1790,Pop_35_39,85095,42503,42592
Mexico,1790,Pop_40_44,58500,30549,27951
Mexico,1790,Pop_45_49,43879,21252,22627
Mexico,1790,Pop_50_up,84285,43498,40787
Nuevo Mexico,1790,Pop_Total,30953,16039,14914
Nuevo Mexico,1790,Pop_0_4,5641,2954,2687
Nuevo Mexico,1790,Pop_5_9,4425,2462,1963
Nuevo Mexico,1790,Pop_10_14,3771,2083,1688
Nuevo Mexico,1790,Pop_15_19,3076,1629,1447
Nuevo Mexico,1790,Pop_20_24,2645,1439,1206
Nuevo Mexico,1790,Pop_25_29,2156,985,1171
Nuevo Mexico,1790,Pop_30_34,2049,947,1102
Nuevo Mexico,1790,Pop_35_39,1732,871,861
Nuevo Mexico,1790,Pop_40_44,1881,985,896
Nuevo Mexico,1790,Pop_45_49,1553,795,758
Nuevo Mexico,1790,Pop_50_up,2024,889,1135
Oaxaca,1790,Pop_Total,419309,207187,212122
Oaxaca,1790,Pop_0_4,62103,33213,28890
Oaxaca,1790,Pop_5_9,48911,27519,21392
Oaxaca,1790,Pop_10_14,41317,21351,19966
Oaxaca,1790,Pop_15_19,41794,20402,21392
Oaxaca,1790,Pop_20_24,42275,17555,24720
Oaxaca,1790,Pop_25_29,42277,16607,25670
Oaxaca,1790,Pop_30_34,37048,16607,20441
Oaxaca,1790,Pop_35_39,32294,16607,15687
Oaxaca,1790,Pop_40_44,24220,12336,11884
Oaxaca,1790,Pop_45_49,15673,7592,8081
Oaxaca,1790,Pop_50_up,31397,17398,13999
Puebla,1790,Pop_Total,542288,271769,270519
Puebla,1790,Pop_0_4,81825,46992,34833
Puebla,1790,Pop_5_9,67808,35978,31830
Puebla,1790,Pop_10_14,57012,26984,30028
Puebla,1790,Pop_15_19,47748,21924,25824
Puebla,1790,Pop_20_24,47263,20238,27025
Puebla,1790,Pop_25_29,44261,20238,24023
Puebla,1790,Pop_30_34,39532,19113,20419
Puebla,1790,Pop_35_39,36006,17989,18017
Puebla,1790,Pop_40_44,31879,16865,15014
Puebla,1790,Pop_45_49,25580,12368,13212
Puebla,1790,Pop_50_up,63374,33080,30294
San Luis Potosi,1790,Pop_Total,242280,124944,117336
San Luis Potosi,1790,Pop_0_4,40729,21157,19572
San Luis Potosi,1790,Pop_5_9,32033,16810,15223
San Luis Potosi,1790,Pop_10_14,27286,14781,12505
San Luis Potosi,1790,Pop_15_19,27232,13912,13320
San Luis Potosi,1790,Pop_20_24,23518,11014,12504
San Luis Potosi,1790,Pop_25_29,19967,10724,9243
San Luis Potosi,1790,Pop_30_34,18263,9564,8699
San Luis Potosi,1790,Pop_35_39,14586,7246,7340
San Luis Potosi,1790,Pop_40_44,12628,6376,6252
San Luis Potosi,1790,Pop_45_49,8424,4347,4077
San Luis Potosi,1790,Pop_50_up,17614,9013,8601
Sinaloa,1790,Pop_Total,55062,27772,27290
Sinaloa,1790,Pop_0_4,8478,4452,4026
Sinaloa,1790,Pop_5_9,7562,4070,3492
Sinaloa,1790,Pop_10_14,6674,3498,3176
Sinaloa,1790,Pop_15_19,5468,2480,2988
Sinaloa,1790,Pop_20_24,4551,2035,2516
Sinaloa,1790,Pop_25_29,4808,2229,2579
Sinaloa,1790,Pop_30_34,4050,1911,2139
Sinaloa,1790,Pop_35_39,3736,1975,1761
Sinaloa,1790,Pop_40_44,3036,1526,1510
Sinaloa,1790,Pop_45_49,2341,1272,1069
Sinaloa,1790,Pop_50_up,4358,2324,2034
Sonora,1790,Pop_Total,38305,20473,17832
Sonora,1790,Pop_0_4,6846,3708,3138
Sonora,1790,Pop_5_9,5755,3328,2427
Sonora,1790,Pop_10_14,4570,2520,2050
Sonora,1790,Pop_15_19,4042,1949,2093
Sonora,1790,Pop_20_24,3457,1616,1841
Sonora,1790,Pop_25_29,3129,1664,1465
Sonora,1790,Pop_30_34,2640,1426,1214
Sonora,1790,Pop_35_39,2277,1189,1088
Sonora,1790,Pop_40_44,1885,1048,837
Sonora,1790,Pop_45_49,1254,668,586
Sonora,1790,Pop_50_up,2450,1357,1093
Tlaxcala,1790,Pop_Total,59148,29997,29151
Tlaxcala,1790,Pop_0_4,9569,5097,4472
Tlaxcala,1790,Pop_5_9,7721,3926,3795
Tlaxcala,1790,Pop_10_14,6901,3581,3320
Tlaxcala,1790,Pop_15_19,6285,3168,3117
Tlaxcala,1790,Pop_20_24,5600,2686,2914
Tlaxcala,1790,Pop_25_29,5191,2548,2643
Tlaxcala,1790,Pop_30_34,4576,2204,2372
Tlaxcala,1790,Pop_35_39,3961,1860,2101
Tlaxcala,1790,Pop_40_44,2869,1446,1423
Tlaxcala,1790,Pop_45_49,1982,1033,949
Tlaxcala,1790,Pop_50_up,4493,2448,2045
Valladolid,1790,Pop_Total,322951,159638,163313
Valladolid,1790,Pop_0_4,35157,19097,16060
Valladolid,1790,Pop_5_9,31355,17261,14094
Valladolid,1790,Pop_10_14,32719,16159,16560
Valladolid,1790,Pop_15_19,40268,19832,20436
Valladolid,1790,Pop_20_24,40635,20199,20436
Valladolid,1790,Pop_25_29,33762,15792,17970
Valladolid,1790,Pop_30_34,26978,13589,13389
Valladolid,1790,Pop_35_39,22615,10283,12332
Valladolid,1790,Pop_40_44,16918,8814,8104
Valladolid,1790,Pop_45_49,11866,5976,5990
Valladolid,1790,Pop_50_up,30678,12736,17942
Veracruz,1790,Pop_Total,163539,85694,77845
Veracruz,1790,Pop_0_4,25329,14134,11195
Veracruz,1790,Pop_5_9,21289,11745,9544
Veracruz,1790,Pop_10_14,17002,8560,8442
Veracruz,1790,Pop_15_19,17706,8162,9544
Veracruz,1790,Pop_20_24,15625,7366,8259
Veracruz,1790,Pop_25_29,16651,8759,7892
Veracruz,1790,Pop_30_34,14339,7365,6974
Veracruz,1790,Pop_35_39,12259,6569,5690
Veracruz,1790,Pop_40_44,7866,4379,3487
Veracruz,1790,Pop_45_49,4974,2588,2386
Veracruz,1790,Pop_50_up,10499,6067,4432
Zacatecas,1790,Pop_Total,143471,71590,71881
Zacatecas,1790,Pop_0_4,21863,9981,11882
Zacatecas,1790,Pop_5_9,19214,9814,9400
Zacatecas,1790,Pop_10_14,17247,8484,8763
Zacatecas,1790,Pop_15_19,17899,8817,9082
Zacatecas,1790,Pop_20_24,15162,8151,7011
Zacatecas,1790,Pop_25_29,13838,6987,6851
Zacatecas,1790,Pop_30_34,10090,4991,5099
Zacatecas,1790,Pop_35_39,7491,3826,3665
Zacatecas,1790,Pop_40_44,6354,3327,3027
Zacatecas,1790,Pop_45_49,4394,2163,2231
Zacatecas,1790,Pop_50_up,9919,5049,4870
