Year,Population,Series
1592.477055,398948.3127,Mild Simulation
1593.252365,381860.9041,Mild Simulation
1595.108047,381760.4884,Mild Simulation
1597.736931,381618.2328,Mild Simulation
1599.437973,381526.1851,Mild Simulation
1600.675095,381459.2413,Mild Simulation
1602.994698,381333.7216,Mild Simulation
1604.850381,381233.3059,Mild Simulation
1605.624987,369827.7536,Mild Simulation
1607.172092,364062.2176,Mild Simulation
1608.563854,363986.9058,Mild Simulation
1610.883458,363861.3861,Mild Simulation
1613.666278,369392.6188,Mild Simulation
1615.05804,369317.307,Mild Simulation
1618.150142,374831.8037,Mild Simulation
1618.768702,374798.3318,Mild Simulation
1620.781134,357643.9794,Mild Simulation
1622.174302,346204.9552,Mild Simulation
1624.648545,346071.0676,Mild Simulation
